CentroTitul,Plazas,Matriculadas,Porcentaje,Centro
Enfermería,100,99,99,FCS
Fisioterapia,60,59,98.3,FCS
Maestro en Educación Infantil,110,109,99.1,FHHSS
Maestro en Educación Primaria,180,179,99.4,FHHSS
Sociología Aplicada,50,48,96,FHHSS
Trabajo Social,110,108,98.2,FHHSS
Administración y Dirección de Empresas,195,195,100,FCCEE
Economía,65,65,100,FCCEE
DG Int.  Administración y Dirección Empresas y Economía,25,25,100,FCCEE
Ingeniería Agroalimentaria y del Medio Rural,85,47,55.3,ETSIA
Innovación de Procesos y Productos Alimentarios,15,15,100,ETSIA
DG Ing. Agroalimentaria Medio Rural y Innovación Procesos y Productos Alimentarios,35,34,97.1,ETSIA
Ingeniería Diseño Mecánico,50,31,62,ETSIIT
Ingeniería Tecnologías de Telecomunicación,60,59,98.3,ETSIIT
Ingeniería en Tecnologías Industriales,150,148,98.7,ETSIIT
Ingeniería Informática,90,89,98.9,ETSIIT
Ingeniería Eléctrica y Electrónica,60,59,98.3,ETSIIT
Ingeniería Mecánica,90,90,100,ETSIIT
Derecho,90,90,100,FCJ
Relaciones Laborales y Recursos Humanos,60,59,98.3,FCJ
DG Administración y Dirección Empresas y  Derecho,40,40,100,FCJ/FCCEE
