Universidad,Manual
Pennsylvania Wharton School,"Chernev, A. (2014). Strategic marketing management (8th ed.). Cerebellum Press"
Northwestern University. Kellog,"Kotler, P., & Armstrong, G. (2017). Principles of Marketing. Pearson Education Limited (17th ed.). Pearson"
University of Maryland,"Lamb, C. W., Hair, J. F., & McDaniel, C. (2019). MKTG12: Principals of Marketing (12th ed.). Cengage Learning"
New York University. Stern,"Kerin, R. A., Berkowitz, E., Rudelius, W., & Hartley, S. (2018). Marketing (13th ed.). McGraw-Hill"
Tilburg University,"Armstrong, G., & Kotler, P. (2016). Marketing: An Introduction (13th ed.). Pearson"
University of Minnesotta,"Lamb, C. W., Hair, J. F., & McDaniel, C. (2019). MKTG12: Principals of Marketing (12th ed.). Cengage Learning"
University of Texas. McCombs,"Lamb, C. W., Hair, J. F., & McDaniel, C. (2019). MKTG12: Principals of Marketing (12th ed.). Cengage Learning"
University of Florida,"Chernev, A. (2014). Strategic marketing management (8th ed.). Cerebellum Press."
British Columbia,"Grewal, D., & Levy, M. (2017). M: Marketing (5th ed.). McGraw-Hill Education."
University of Pittsburg,"Lamb, C. W., Hair, J. F., & McDaniel, C. (2019). MKTG12: Principals of Marketing (12th ed.). Cengage Learning"
UCLA,"Perreault, W. D., Cannon, J. P., & McCarthy, E. J. (2014). Essentials of marketing (14th ed) McGraw-Hill Education."
Hong Kong University,"Kotler, P., & Armstrong, G. (2017). Principles of Marketing. Pearson Education Limited (17th ed.). Pearson"
Universitat Pompeu Fabra,"Kotler, P., & Keller, K. L. (2016). Marketing Management (15th ed.). Pearson."
Universidad Autónoma de Barcelona,"Esteban, A., Lorenzo, C., & Millán, A. (2013). Dirección comercial. ESIC."
Universidad Carlos III ,"Lambin, J.J., & Schuiling, I. (2012). Market-driven Management. Palgrave Macmillan."
Universidad Autónoma de Madrid,"Kotler, P., Armstrong, Nogales, F. y Rubio, N. (2013): Marketing Mercado y Demanda. Pearson/Prentice Hall."
Universidad de Barcelona,"Kotler, P., Keller, K. L. y otros (2016). Dirección de marketing. Pearson."
Universidad Pública de Navarra,"Kotler, P., & Armstrong, G. (2018). Principios de Marketing.  (17th ed.). Pearson"
Universitat Rovira i Virgilli,"Kotler, P., Keller, K. L. y otros (2016). Dirección de marketing. Pearson."
Universidad Comp. de Madrid,"Kotler, P., & Armstrong, G. (2011). Introducción al marketing. Prentice Hall. "
Universidad de Granada,"Kotler, P., & Armstrong, G. (2011). Introducción al marketing. Prentice Hall. "
Universidad Pol. de Valencia,"Rivera Vilas, L. M. (2015). Decisiones en marketing: cliente y empresa (3a ). Universidad Politécnica de Valencia."
Universidad de Valencia,"Kotler, P., & Armstrong, G. (2018). Principios de Marketing.  (17th ed.). Pearson"
Universidad de Alcalá,"Santesmases Mestre, M. (2012). Marketing: conceptos y estrategias. Ediciones Pirámide"
,
