Ano,A1112 ,A1213,A1314,A01415,A1516 ,A1617a
FCCEE,1594,1484,1440,1366,1290,1266
Origen Navarra,1413,1311,1258,1199,1129,1109
Origen Resto de España,118,110,116,109,96,85
Origen Extranjero,63,63,66,58,65,72
FCCEE/FCJ,66,98,132,171,208,216
Origen Navarra,55,77,102,136,167,176
Origen Resto de España,10,20,27,33,38,38
Origen Extranjero,1,1,3,2,3,2
Otros centros UPNA,6067,6106,6329,6273,6346,6164
Origen Navarra,5113,5196,5426,5396,5395,5244
Origen Resto de España,801,752,738,722,763,738
Origen Extranjero,153,158,165,155,188,182
